"","All ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All "
"","Up to 26 weeks ",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Up to 26 weeks ","26 to 36 weeks ",".",".",".",".",".",".",".",".",".","26 to 36 weeks ","Over 36 weeks ",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Over 36 weeks ","."
"","Over 0 weeks and up to 1 week ","Over 1 week and up to 2 weeks ","Over 2 weeks and up to 3 weeks ","Over 3 weeks and up to 4 weeks ","Over 4 weeks and up to 5 weeks ","Over 5 weeks and up to 6 weeks ","Over 6 weeks and up to 7 weeks ","Over 7 weeks and up to 8 weeks ","Over 8 weeks and up to 9 weeks ","Over 9 weeks and up to 10 weeks ","Over 10 weeks and up to 11 weeks ","Over 11 weeks and up to 12 weeks ","Over 12 weeks and up to 13 weeks ","Over 13 weeks and up to 14 weeks ","Over 14 weeks and up to 15 weeks ","Over 15 weeks and up to 16 weeks ","Over 16 weeks and up to 17 weeks ","Over 17 weeks and up to 18 weeks ","Over 18 weeks and up to 19 weeks ","Over 19 weeks and up to 20 weeks ","Over 20 weeks and up to 21 weeks ","Over 21 weeks and up to 22 weeks ","Over 22 weeks and up to 23 weeks ","Over 23 weeks and up to 24 weeks ","Over 24 weeks and up to 25 weeks ","Over 25 weeks and up to 26 weeks ",".","Over 26 weeks and up to 27 weeks ","Over 27 weeks and up to 28 weeks ","Over 28 weeks and up to 29 weeks ","Over 29 weeks and up to 30 weeks ","Over 30 weeks and up to 31 weeks ","Over 31 weeks and up to 32 weeks ","Over 32 weeks and up to 33 weeks ","Over 33 weeks and up to 34 weeks ","Over 34 weeks and up to 35 weeks ","Over 35 weeks and up to 36 weeks ",".","Over 36 weeks and up to 37 weeks ","Over 37 weeks and up to 38 weeks ","Over 38 weeks and up to 39 weeks ","Over 39 weeks and up to 40 weeks ","Over 40 weeks and up to 41 weeks ","Over 41 weeks and up to 45 weeks ","Over 45 weeks and up to 49 weeks ","Over 49 weeks and up to 53 weeks ","Over 53 weeks and up to 57 weeks ","Over 57 weeks and up to 61 weeks ","Over 61 weeks and up to 65 weeks ","Over 65 weeks and up to 69 weeks ","Over 69 weeks and up to 73 weeks ","Over 73 weeks and up to 77 weeks ","Over 77 weeks and up to 81 weeks ","Over 81 weeks and up to 85 weeks ","Over 85 weeks and up to 89 weeks ","Over 89 weeks and up to 93 weeks ","Over 93 weeks and up to 97 weeks ","Over 97 weeks and up to 101 weeks ","Over 101 weeks and up to 105 weeks ","Over 105 weeks ",".","."
"Sep-2019 ",39822,30366,28346,25178,17979,20388,19356,17477,15731,15557,14638,14037,12932,12749,11858,11840,11180,8247,10661,10351,8152,9552,6632,6888,8337,8027,396281,6875,6505,6316,5787,5222,5022,4419,4077,4231,3660,52114,1819,1461,959,765,1255,4050,2582,1574,929,702,523,425,387,318,186,178,131,103,88,77,53,211,18776,467171
"Oct-2019 ",38909,31398,28979,25849,23039,21374,19507,17518,15221,10841,13675,12649,12421,11768,11729,11536,11085,10653,10294,9837,9941,8715,7037,8219,8091,6306,396591,7292,3892,6250,5788,5576,5298,4380,4011,3698,3560,49745,1850,1706,1734,1643,1411,3198,2861,1964,1228,748,549,455,372,323,293,146,151,89,85,68,60,211,21145,467481
"Nov-2019 ",33003,31022,28502,24846,21837,22048,20563,18604,15803,14697,14012,13172,12122,8985,10819,10822,10312,10144,10158,9737,9622,9078,8780,8199,8022,7444,392353,5215,6513,6144,4781,5725,3801,3913,4125,4078,3731,48026,1963,1884,1687,1545,1312,4650,2306,2192,1432,984,600,461,370,320,284,227,124,112,75,74,61,216,22879,463258
"Dec-2019 ",17489,29994,28458,26308,24260,22768,21097,18866,15457,15586,15085,14053,13147,12246,11643,11168,10708,9892,7735,9682,9245,8979,8884,8233,7936,7493,386412,6816,6162,6173,5989,5160,4057,4710,4334,3504,3728,50633,1359,2007,1898,1928,1570,4981,3658,1927,1681,1232,813,513,398,340,275,233,194,106,94,60,61,221,25549,462594
"Jan-2020 ",40546,32008,28690,24008,11950,10929,20262,18446,16220,15567,14917,13844,12491,12004,12078,11647,11285,10838,9969,9982,9405,8766,6555,7989,7727,7373,385496,6735,6287,5734,5423,5149,4828,4406,4171,3736,3079,49548,2110,2119,1696,1966,1093,5305,3818,2758,1522,1136,1004,669,448,313,315,235,183,167,90,76,57,234,27314,462358
"Feb-2020 ",33177,29821,29984,27433,24768,22635,20167,17005,8633,6449,14021,13273,12821,12261,11916,11512,10726,10030,10717,10270,10022,9409,8774,8438,7810,7362,389434,5141,6236,5971,5575,5393,4788,3802,3459,3293,3083,46741,1943,1782,1711,1367,1469,4716,3461,2463,1784,1138,808,752,525,368,260,266,195,137,127,57,65,240,25634,461809
"Mar-2020 ",12675,17688,27468,27841,25454,22189,22224,20880,18416,16651,15448,13565,7940,4647,11733,11363,11161,11111,10577,10442,9976,9162,9570,9006,8644,8383,374214,7512,7030,6726,6264,5514,4167,4676,4333,4181,3898,54301,2297,2151,2014,1868,1474,4751,3679,2503,1837,1426,999,686,662,437,316,221,232,170,126,115,51,279,28294,456809
"Apr-2020 (6)",9897,6145,3965,5970,6984,11630,20944,24418,23305,20622,19890,19286,17416,16146,14426,13425,10696,4308,8066,10981,10673,10438,10170,9988,9420,8642,327851,8832,8640,8190,7987,7183,6718,6432,5968,5347,3903,69200,4383,4028,3826,3683,2629,7446,4635,3635,2558,1887,1442,1057,662,674,448,331,216,237,173,129,113,350,44542,441593
"May-2020 ",10215,10067,8359,5702,5960,4987,4159,4312,6079,8240,16468,23419,23169,20861,18779,19410,17663,15950,14608,13318,11807,6305,4813,10443,10066,9968,305127,9834,9548,9154,8533,7989,8469,7760,7616,7064,6469,82436,6045,5632,5227,3713,4278,14099,7526,4632,3638,2521,1956,1389,1122,668,663,475,323,226,239,163,143,526,65204,452767
"Jun-2020 ",18996,12770,10955,8995,7800,5512,6535,4687,5181,4293,4541,3290,5457,6794,12485,20188,21275,19429,17091,17323,16513,14681,13448,12562,11048,6617,288466,3800,9744,9460,9312,9354,8839,8573,8227,7516,7801,82626,7170,6929,6706,6029,5695,18104,13606,7289,4731,3390,2531,1927,1372,1117,673,661,478,316,232,225,163,683,90027,461119
"Jul-2020 (7)",23023,16924,14457,12542,10597,9011,8270,7650,6734,4750,5700,4621,4810,4131,3736,2588,4012,5053,7474,14507,18608,18637,16378,15414,15502,14045,269174,13033,12127,10991,9642,4866,4814,9020,8742,8792,8582,90609,8114,7716,7142,7086,7091,24585,18023,13429,7691,4882,3413,2547,1994,1396,1178,680,693,507,334,226,223,880,119830,479613
"Aug-2020 ",21183,18659,16316,14946,12990,11943,11005,9938,8797,7595,6972,6727,5797,4122,4803,4659,3447,3670,3330,2951,3392,4761,6159,11823,17419,17131,240535,15378,14048,14501,13345,12347,11351,10366,9418,5030,3877,109661,8374,8239,7962,8141,7922,27818,23732,17320,12871,7722,4844,3360,2502,1959,1428,1174,682,683,511,340,227,1096,148907,499103
"Sep-2020 ",27927,20425,18709,16441,11184,13140,11964,11311,10780,10113,9284,8458,7914,6877,6244,6000,5415,4764,3495,4199,3174,3497,2893,2977,2044,3610,232839,4365,7781,14309,15576,14689,12754,12927,12625,11392,10878,117296,9952,9121,5800,2917,7455,29957,26470,22461,17160,11727,7909,4890,3405,2372,1932,1450,1157,681,665,525,339,1314,169659,519794
"Oct-2020 ",22098,20716,19330,17132,15869,14266,13760,12909,9177,10361,9918,9302,9349,8485,8143,7482,6993,6288,5589,5188,5104,4397,3180,3614,3529,2632,254811,2715,2508,2090,2346,3349,4543,9344,13382,13351,11888,65516,10864,11338,10699,10011,9714,23751,28054,24687,21641,16793,11301,8065,4972,3337,2364,2012,1377,1211,672,677,510,1680,205730,526057
"Nov-2020 ",28398,21152,18551,16631,14032,13629,13404,12342,11974,11192,11113,10445,7604,8628,8313,7929,7998,7257,6962,6470,6030,5412,4832,4409,4319,3725,272751,2654,3027,2907,2206,2306,2149,1792,2044,2905,3908,25898,7847,11757,11650,10544,10312,36932,21932,25921,22961,20103,15647,10474,7594,4683,3203,2277,1922,1349,1174,654,674,2112,231722,530371


