Year,Month,stp_code,Deaths
2020,Aug,QJG,1
2020,Aug,QJK,0
2020,Aug,QJM,0
2020,Aug,QK1,5
2020,Aug,QKK,3
2020,Aug,QKS,17
2020,Aug,QM7,3
2020,Aug,QMF,3
2020,Aug,QMJ,3
2020,Aug,QMM,1
2020,Aug,QNC,1
2020,Aug,QNQ,1
2020,Aug,QNX,2
2020,Aug,QOC,0
2020,Aug,QOP,51
2020,Aug,QOQ,3
2020,Aug,QOX,3
2020,Aug,QPM,3
2020,Aug,QR1,1
2020,Aug,QRL,2
2020,Aug,QRV,3
2020,Aug,QSL,0
2020,Aug,QT1,0
2020,Aug,QT6,0
2020,Aug,QU9,5
2020,Aug,QUA,5
2020,Aug,QUE,7
2020,Aug,QUY,1
2020,Aug,QVV,0
2020,Aug,QWE,1
2020,Aug,QWO,17
2020,Aug,QWU,2
2020,Aug,QXU,1
2020,Aug,QYG,12
2020,Sep,QE1,31
2020,Sep,QF7,10
2020,Sep,QGH,5
2020,Sep,QH8,4
2020,Sep,QHG,3
2020,Sep,QHL,33
2020,Sep,QHM,57
2020,Sep,QJ2,12
2020,Sep,QJG,2
2020,Sep,QJK,0
2020,Sep,QJM,5
2020,Sep,QK1,9
2020,Sep,QKK,7
2020,Sep,QKS,6
2020,Sep,QM7,6
2020,Sep,QMF,34
2020,Sep,QMJ,6
2020,Sep,QMM,2
2020,Sep,QNC,5
2020,Sep,QNQ,8
2020,Sep,QNX,11
2020,Sep,QOC,1
2020,Sep,QOP,102
2020,Sep,QOQ,9
2020,Sep,QOX,1
2020,Sep,QPM,0
2020,Sep,QR1,0
2020,Sep,QRL,9
2020,Sep,QRV,5
2020,Sep,QSL,0
2020,Sep,QT1,7
2020,Sep,QT6,2
2020,Sep,QU9,6
2020,Sep,QUA,13
2020,Sep,QUE,2
2020,Sep,QUY,2
2020,Sep,QVV,0
2020,Sep,QWE,2
2020,Sep,QWO,38
2020,Sep,QWU,5
2020,Sep,QXU,5
2020,Sep,QYG,55
2020,Oct,QE1,249
2020,Oct,QF7,220
2020,Oct,QGH,17
2020,Oct,QH8,51
2020,Oct,QHG,19
2020,Oct,QHL,86
2020,Oct,QHM,297
2020,Oct,QJ2,73
2020,Oct,QJG,29
2020,Oct,QJK,27
2020,Oct,QJM,24
2020,Oct,QK1,35
2020,Oct,QKK,19
2020,Oct,QKS,38
2020,Oct,QM7,36
2020,Oct,QMF,125
2020,Oct,QMJ,22
2020,Oct,QMM,20
2020,Oct,QNC,52
2020,Oct,QNQ,21
2020,Oct,QNX,18
2020,Oct,QOC,19
2020,Oct,QOP,490
2020,Oct,QOQ,75
2020,Oct,QOX,12
2020,Oct,QPM,17
2020,Oct,QR1,6
2020,Oct,QRL,34
2020,Oct,QRV,55
2020,Oct,QSL,5
2020,Oct,QT1,127
2020,Oct,QT6,1
2020,Oct,QU9,33
2020,Oct,QUA,114
2020,Oct,QUE,17
2020,Oct,QUY,17
2020,Oct,QVV,35
2020,Oct,QWE,33
2020,Oct,QWO,248
2020,Oct,QWU,21
2020,Oct,QXU,10
2020,Oct,QYG,473
2020,Nov,QE1,488
2020,Nov,QF7,528
2020,Nov,QGH,70
2020,Nov,QH8,107
2020,Nov,QHG,110
2020,Nov,QHL,299
2020,Nov,QHM,589
2020,Nov,QJ2,237
2020,Nov,QJG,72
2020,Nov,QJK,106
2020,Nov,QJM,152
2020,Nov,QK1,144
2020,Nov,QKK,63
2020,Nov,QKS,281
2020,Nov,QM7,92
2020,Nov,QMF,269
2020,Nov,QMJ,70
2020,Nov,QMM,78
2020,Nov,QNC,240
2020,Nov,QNQ,59
2020,Nov,QNX,62
2020,Nov,QOC,54
2020,Nov,QOP,941
2020,Nov,QOQ,326
2020,Nov,QOX,57
2020,Nov,QPM,83
2020,Nov,QR1,69
2020,Nov,QRL,107
2020,Nov,QRV,116
2020,Nov,QSL,37
2020,Nov,QT1,238
2020,Nov,QT6,2
2020,Nov,QU9,67
2020,Nov,QUA,391
2020,Nov,QUE,49
2020,Nov,QUY,106
2020,Nov,QVV,85
2020,Nov,QWE,118
2020,Nov,QWO,567
2020,Nov,QWU,94
2020,Nov,QXU,86
2020,Nov,QYG,543
2020,Dec,QE1,482
2020,Dec,QF7,462
2020,Dec,QGH,139
2020,Dec,QH8,354
2020,Dec,QHG,236
2020,Dec,QHL,290
2020,Dec,QHM,585
2020,Dec,QJ2,218
2020,Dec,QJG,184
2020,Dec,QJK,119
2020,Dec,QJM,227
2020,Dec,QK1,211
2020,Dec,QKK,189
2020,Dec,QKS,823
2020,Dec,QM7,240
2020,Dec,QMF,614
2020,Dec,QMJ,234
2020,Dec,QMM,180
2020,Dec,QNC,294
2020,Dec,QNQ,121
2020,Dec,QNX,223
2020,Dec,QOC,59
2020,Dec,QOP,570
2020,Dec,QOQ,283
2020,Dec,QOX,82
2020,Dec,QPM,166
2020,Dec,QR1,117
2020,Dec,QRL,211
2020,Dec,QRV,287
2020,Dec,QSL,64
2020,Dec,QT1,211
2020,Dec,QT6,15
2020,Dec,QU9,137
2020,Dec,QUA,333
2020,Dec,QUE,112
2020,Dec,QUY,103
2020,Dec,QVV,71
2020,Dec,QWE,290
2020,Dec,QWO,369
2020,Dec,QWU,162
2020,Dec,QXU,132
2020,Dec,QYG,409
2021,Jan,QE1,581
2021,Jan,QF7,454
2021,Jan,QGH,326
2021,Jan,QH8,807
2021,Jan,QHG,534
2021,Jan,QHL,547
2021,Jan,QHM,1004
2021,Jan,QJ2,546
2021,Jan,QJG,534
2021,Jan,QJK,160
2021,Jan,QJM,177
2021,Jan,QK1,340
2021,Jan,QKK,860
2021,Jan,QKS,1014
2021,Jan,QM7,631
2021,Jan,QMF,1111
2021,Jan,QMJ,735
2021,Jan,QMM,594
2021,Jan,QNC,309
2021,Jan,QNQ,505
2021,Jan,QNX,708
2021,Jan,QOC,143
2021,Jan,QOP,820
2021,Jan,QOQ,421
2021,Jan,QOX,274
2021,Jan,QPM,244
2021,Jan,QR1,137
2021,Jan,QRL,698
2021,Jan,QRV,954
2021,Jan,QSL,109
2021,Jan,QT1,411
2021,Jan,QT6,83
2021,Jan,QU9,437
2021,Jan,QUA,815
2021,Jan,QUE,298
2021,Jan,QUY,195
2021,Jan,QVV,377
2021,Jan,QWE,748
2021,Jan,QWO,458
2021,Jan,QWU,301
2021,Jan,QXU,440
2021,Jan,QYG,1105
2021,Feb,QE1,285
2021,Feb,QF7,281
2021,Feb,QGH,135
2021,Feb,QH8,235
2021,Feb,QHG,227
2021,Feb,QHL,323
2021,Feb,QHM,570
2021,Feb,QJ2,277
2021,Feb,QJG,203
2021,Feb,QJK,76
2021,Feb,QJM,77
2021,Feb,QK1,221
2021,Feb,QKK,238
2021,Feb,QKS,310
2021,Feb,QM7,185
2021,Feb,QMF,327
2021,Feb,QMJ,189
2021,Feb,QMM,262
2021,Feb,QNC,138
2021,Feb,QNQ,143
2021,Feb,QNX,229
2021,Feb,QOC,98
2021,Feb,QOP,522
2021,Feb,QOQ,246
2021,Feb,QOX,116
2021,Feb,QPM,107
2021,Feb,QR1,39
2021,Feb,QRL,264
2021,Feb,QRV,362
2021,Feb,QSL,40
2021,Feb,QT1,270
2021,Feb,QT6,62
2021,Feb,QU9,186
2021,Feb,QUA,481
2021,Feb,QUE,153
2021,Feb,QUY,103
2021,Feb,QVV,165
2021,Feb,QWE,281
2021,Feb,QWO,348
2021,Feb,QWU,144
2021,Feb,QXU,192
2021,Feb,QYG,710
2021,Mar,QE1,66
2021,Mar,QF7,90
2021,Mar,QGH,33
2021,Mar,QH8,74
2021,Mar,QHG,36
2021,Mar,QHL,76
2021,Mar,QHM,120
2021,Mar,QJ2,57
2021,Mar,QJG,45
2021,Mar,QJK,15
